layout,algorithm,iteration,cost,expanded nodes,score,result
tinyMaze,dfs,1,7,7,503,Win
tinyMaze,dfs,2,2,2,508,Win
tinyMaze,dfs,3,4,4,506,Win
tinyMaze,dfs,4,13,15,497,Win
tinyMaze,dfs,5,1,2,509,Win
tinyMaze,dfs,6,6,6,504,Win
tinyMaze,dfs,7,13,13,497,Win
tinyMaze,dfs,8,7,7,503,Win
tinyMaze,dfs,9,2,2,508,Win
tinyMaze,dfs,10,5,7,505,Win
tinyMaze,dfs,11,5,5,505,Win
tinyMaze,dfs,12,4,4,506,Win
tinyMaze,dfs,13,9,9,501,Win
tinyMaze,dfs,14,7,7,503,Win
tinyMaze,dfs,15,7,7,503,Win
tinyMaze,dfs,16,8,10,502,Win
tinyMaze,dfs,17,12,12,498,Win
tinyMaze,dfs,18,2,2,508,Win
tinyMaze,dfs,19,13,15,497,Win
tinyMaze,dfs,20,10,10,500,Win
tinyMaze,dfs,21,1,1,509,Win
tinyMaze,dfs,22,9,9,501,Win
tinyMaze,dfs,23,12,14,498,Win
tinyMaze,dfs,24,13,13,497,Win
tinyMaze,dfs,25,11,11,499,Win
tinyMaze,dfs,26,6,6,504,Win
tinyMaze,dfs,27,1,1,509,Win
tinyMaze,dfs,28,5,5,505,Win
tinyMaze,dfs,29,14,15,496,Win
tinyMaze,dfs,30,1,1,509,Win
tinyMaze,dfs,31,7,7,503,Win
tinyMaze,dfs,32,12,14,498,Win
tinyMaze,dfs,33,12,12,498,Win
tinyMaze,dfs,34,2,2,508,Win
tinyMaze,dfs,35,10,12,500,Win
tinyMaze,dfs,36,13,14,497,Win
tinyMaze,dfs,37,3,14,507,Win
tinyMaze,dfs,38,2,4,508,Win
tinyMaze,dfs,39,4,4,506,Win
tinyMaze,dfs,40,8,9,502,Win
tinyMaze,dfs,41,4,4,506,Win
tinyMaze,dfs,42,8,8,502,Win
tinyMaze,dfs,43,3,3,507,Win
tinyMaze,dfs,44,1,1,509,Win
tinyMaze,dfs,45,13,13,497,Win
tinyMaze,dfs,46,7,9,503,Win
tinyMaze,dfs,47,10,10,500,Win
tinyMaze,dfs,48,15,15,495,Win
tinyMaze,dfs,49,5,5,505,Win
tinyMaze,dfs,50,11,11,499,Win
tinyMaze,dfs,51,13,15,497,Win
tinyMaze,dfs,52,7,9,503,Win
tinyMaze,dfs,53,2,2,508,Win
tinyMaze,dfs,54,12,12,498,Win
tinyMaze,dfs,55,13,14,497,Win
tinyMaze,dfs,56,4,4,506,Win
tinyMaze,dfs,57,4,4,506,Win
tinyMaze,dfs,58,3,3,507,Win
tinyMaze,dfs,59,3,3,507,Win
tinyMaze,dfs,60,9,10,501,Win
tinyMaze,dfs,61,5,5,505,Win
tinyMaze,dfs,62,10,12,500,Win
tinyMaze,dfs,63,6,6,504,Win
tinyMaze,dfs,64,5,5,505,Win
tinyMaze,dfs,65,6,6,504,Win
tinyMaze,dfs,66,9,9,501,Win
tinyMaze,dfs,67,5,7,505,Win
tinyMaze,dfs,68,6,6,504,Win
tinyMaze,dfs,69,5,7,505,Win
tinyMaze,dfs,70,5,5,505,Win
tinyMaze,dfs,71,11,13,499,Win
tinyMaze,dfs,72,6,14,504,Win
tinyMaze,dfs,73,1,1,509,Win
tinyMaze,dfs,74,11,12,499,Win
tinyMaze,dfs,75,7,7,503,Win
tinyMaze,dfs,76,11,13,499,Win
tinyMaze,dfs,77,3,3,507,Win
tinyMaze,dfs,78,3,5,507,Win
tinyMaze,dfs,79,7,9,503,Win
tinyMaze,dfs,80,12,12,498,Win
tinyMaze,dfs,81,12,14,498,Win
tinyMaze,dfs,82,4,4,506,Win
tinyMaze,dfs,83,1,1,509,Win
