layoutSize,algorithm,t-value,p-value
tiny,dfs,21.0695858614229,2.2909202680284105e-38
tiny,bfs,24.694405396733977,4.1457413190122507e-44
tiny,ucs,24.694405396733977,4.1457413190122507e-44
tiny,astar,-12.735610959051932,1.4061091933334441e-22
tiny,hbds,-14.721362343517393,1.1255757998886502e-26
small,dfs,17.45322160902517,5.640413741608975e-32
small,bfs,26.897794931623256,2.601528462679338e-47
small,ucs,26.897794931623256,2.601528462679338e-47
small,astar,-22.976387941967836,1.8267506971107116e-41
small,hbds,-4.704217535573937,8.273890491227234e-06
medium,dfs,20.70660825101224,9.339816111074097e-38
medium,bfs,32.85709992421287,4.711814410100769e-55
medium,ucs,32.85709992421287,4.711814410100769e-55
medium,astar,-25.212554931914802,7.015782738777231e-45
medium,hbds,-1.2330280764406516,0.2204851214915418
big,dfs,22.621665621722276,6.678239320778337e-41
big,bfs,44.058867492047696,7.39469157180534e-67
big,ucs,44.058867492047696,7.39469157180534e-67
big,astar,-62.68307583747144,1.7355541840910973e-81
big,hbds,-11.827902030138482,1.1982342929162452e-20
