layoutSize,algorithm,t-value,p-value
tiny,dfs,25.596588217326087,1.912989373344942e-45
tiny,bfs,27.45897504931818,4.278930621264189e-48
tiny,ucs,27.45897504931818,4.278930621264189e-48
tiny,astar,2.522430993266401,0.013248271430364264
tiny,bds,14.721362343517393,1.1255757998886502e-26
small,dfs,19.09520766436141,5.789197622789583e-35
small,bfs,21.770921736369388,1.5835161653984207e-39
small,ucs,21.770921736369388,1.5835161653984207e-39
small,astar,-5.584626941697425,2.0571037930055257e-07
small,bds,4.704217535573937,8.273890491227234e-06
medium,dfs,17.676316064903045,2.1705838191024167e-32
medium,bfs,18.26390075751368,1.8085907703684256e-33
medium,ucs,18.26390075751368,1.8085907703684256e-33
medium,astar,-6.419530875187461,4.75826580323406e-09
medium,bds,1.2330280764406516,0.2204851214915418
big,dfs,25.630210564483455,1.708443185690172e-45
big,bfs,38.31013293240163,3.544184310927638e-61
big,ucs,38.31013293240163,3.544184310927638e-61
big,astar,-4.119130076220641,7.897204586303478e-05
big,bds,11.827902030138482,1.1982342929162452e-20
