layoutSize,algorithm,t-value,p-value
tiny,dfs,14.18803070878466,1.357466463506352e-25
tiny,bfs,13.968819328729653,3.813966536720137e-25
tiny,ucs,13.968819328729653,3.813966536720137e-25
tiny,astar,-16.40660458479713,5.4153224510279275e-30
tiny,hbds,-15.982527774715212,3.581013167817643e-29
small,dfs,14.46346163138312,3.73642242501001e-26
small,bfs,18.929848294756624,1.140144019386336e-34
small,ucs,18.929848294756624,1.140144019386336e-34
small,astar,-19.391741685777447,1.731662328080484e-35
small,hbds,-4.9154773453536755,3.5149363629690014e-06
medium,dfs,16.102115729473354,2.0973133292027308e-29
medium,bfs,19.24724239746728,3.1138121187119927e-35
medium,ucs,19.24724239746728,3.1138121187119927e-35
medium,astar,-21.34705103464447,7.906449352591021e-39
medium,hbds,-2.145571969478679,0.0343525006095708
big,dfs,15.322152022040438,7.096448536252156e-28
big,bfs,22.879631854494225,2.598054605896566e-41
big,ucs,22.879631854494225,2.598054605896566e-41
big,astar,-26.40085528484152,1.317840923649751e-46
big,hbds,-5.61709730888828,1.7844517767998255e-07
