layoutSize,algorithm,t-value,p-value
tiny,dfs,16.31780458719146,8.027713455971924e-30
tiny,bfs,20.853831316984518,5.272039690635081e-38
tiny,ucs,20.853831316984518,5.272039690635081e-38
tiny,astar,-3.0454290455858666,0.0029774581478914357
tiny,bds,15.982527774715212,3.581013167817643e-29
small,dfs,15.3641167579795,5.8602614769964285e-28
small,bfs,16.7660920355047,1.111566958563111e-30
small,ucs,16.7660920355047,1.111566958563111e-30
small,astar,-5.932336948491784,4.402238777598627e-08
small,bds,4.9154773453536755,3.5149363629690014e-06
medium,dfs,16.445460624838216,4.55985253725624e-30
medium,bfs,12.288202008936747,1.2463818713924706e-21
medium,ucs,12.288202008936747,1.2463818713924706e-21
medium,astar,-6.068829401506473,2.37726639428601e-08
medium,bds,2.145571969478679,0.0343525006095708
big,dfs,16.128565790788986,1.863718457449635e-29
big,bfs,18.215064347734376,2.219825955103942e-33
big,ucs,18.215064347734376,2.219825955103942e-33
big,astar,-7.4787312432458855,3.083150752577314e-11
big,bds,5.61709730888828,1.7844517767998255e-07
