layout,layoutCount,algorithm,iteration,cost,expandedNodes,score,result
tiny,0,dfs,0,1,1,509,Win
tiny,0,dfs,1,10,30,500,Win
tiny,0,dfs,2,7,11,503,Win
tiny,0,dfs,3,5,12,505,Win
tiny,0,dfs,4,9,14,501,Win
tiny,0,dfs,5,3,3,507,Win
tiny,0,dfs,6,5,19,505,Win
tiny,0,dfs,7,1,1,509,Win
tiny,0,dfs,8,3,12,507,Win
tiny,0,dfs,9,5,6,505,Win
tiny,0,bfs,0,1,2,509,Win
tiny,0,bfs,1,6,13,504,Win
tiny,0,bfs,2,7,17,503,Win
tiny,0,bfs,3,5,17,505,Win
tiny,0,bfs,4,9,22,501,Win
tiny,0,bfs,5,3,11,507,Win
tiny,0,bfs,6,5,16,505,Win
tiny,0,bfs,7,1,1,509,Win
tiny,0,bfs,8,3,8,507,Win
tiny,0,bfs,9,3,7,507,Win
tiny,0,ucs,0,1,2,509,Win
tiny,0,ucs,1,6,13,504,Win
tiny,0,ucs,2,7,17,503,Win
tiny,0,ucs,3,5,17,505,Win
tiny,0,ucs,4,9,22,501,Win
tiny,0,ucs,5,3,11,507,Win
tiny,0,ucs,6,5,16,505,Win
tiny,0,ucs,7,1,1,509,Win
tiny,0,ucs,8,3,8,507,Win
tiny,0,ucs,9,3,7,507,Win
tiny,0,astar,0,1,1,509,Win
tiny,0,astar,1,6,7,504,Win
tiny,0,astar,2,7,8,503,Win
tiny,0,astar,3,5,6,505,Win
tiny,0,astar,4,9,12,501,Win
tiny,0,astar,5,3,3,507,Win
tiny,0,astar,6,5,6,505,Win
tiny,0,astar,7,1,1,509,Win
tiny,0,astar,8,3,4,507,Win
tiny,0,astar,9,3,4,507,Win
tiny,0,bds,0,1,1,509,Win
tiny,0,bds,1,6,7,504,Win
tiny,0,bds,2,7,18,503,Win
tiny,0,bds,3,5,12,505,Win
tiny,0,bds,4,9,28,501,Win
tiny,0,bds,5,3,7,507,Win
tiny,0,bds,6,5,9,505,Win
tiny,0,bds,7,1,1,509,Win
tiny,0,bds,8,3,5,507,Win
tiny,0,bds,9,3,3,507,Win
tiny,0,hbds,0,1,1,509,Win
tiny,0,hbds,1,6,7,504,Win
tiny,0,hbds,2,7,10,503,Win
tiny,0,hbds,3,5,6,505,Win
tiny,0,hbds,4,9,18,501,Win
tiny,0,hbds,5,3,4,507,Win
tiny,0,hbds,6,5,6,505,Win
tiny,0,hbds,7,1,1,509,Win
tiny,0,hbds,8,3,3,507,Win
tiny,0,hbds,9,3,3,507,Win
tiny,1,dfs,0,10,28,500,Win
tiny,1,dfs,1,10,10,500,Win
tiny,1,dfs,2,10,15,500,Win
tiny,1,dfs,3,3,3,507,Win
tiny,1,dfs,4,9,13,501,Win
tiny,1,dfs,5,20,23,490,Win
tiny,1,dfs,6,6,32,504,Win
tiny,1,dfs,7,4,22,506,Win
tiny,1,dfs,8,6,32,504,Win
tiny,1,dfs,9,5,5,505,Win
tiny,1,bfs,0,8,19,502,Win
tiny,1,bfs,1,4,10,506,Win
tiny,1,bfs,2,6,17,504,Win
tiny,1,bfs,3,1,1,509,Win
tiny,1,bfs,4,9,26,501,Win
tiny,1,bfs,5,14,24,496,Win
tiny,1,bfs,6,6,14,504,Win
tiny,1,bfs,7,4,7,506,Win
tiny,1,bfs,8,6,14,504,Win
tiny,1,bfs,9,1,1,509,Win
tiny,1,ucs,0,8,19,502,Win
tiny,1,ucs,1,4,10,506,Win
tiny,1,ucs,2,6,17,504,Win
tiny,1,ucs,3,1,1,509,Win
tiny,1,ucs,4,9,26,501,Win
tiny,1,ucs,5,14,24,496,Win
tiny,1,ucs,6,6,14,504,Win
tiny,1,ucs,7,4,7,506,Win
tiny,1,ucs,8,6,14,504,Win
tiny,1,ucs,9,1,1,509,Win
tiny,1,astar,0,8,9,502,Win
tiny,1,astar,1,4,5,506,Win
tiny,1,astar,2,6,6,504,Win
tiny,1,astar,3,1,1,509,Win
tiny,1,astar,4,9,12,501,Win
tiny,1,astar,5,14,18,496,Win
tiny,1,astar,6,6,6,504,Win
tiny,1,astar,7,4,4,506,Win
tiny,1,astar,8,6,6,504,Win
tiny,1,astar,9,1,1,509,Win
tiny,1,bds,0,8,14,502,Win
tiny,1,bds,1,4,7,506,Win
tiny,1,bds,2,6,17,504,Win
tiny,1,bds,3,1,1,509,Win
tiny,1,bds,4,9,16,501,Win
tiny,1,bds,5,14,25,496,Win
tiny,1,bds,6,6,8,504,Win
tiny,1,bds,7,4,4,506,Win
tiny,1,bds,8,6,8,504,Win
tiny,1,bds,9,1,1,509,Win
tiny,1,hbds,0,8,8,502,Win
tiny,1,hbds,1,4,5,506,Win
tiny,1,hbds,2,6,7,504,Win
tiny,1,hbds,3,1,1,509,Win
tiny,1,hbds,4,9,11,501,Win
tiny,1,hbds,5,14,31,496,Win
tiny,1,hbds,6,6,7,504,Win
tiny,1,hbds,7,4,4,506,Win
tiny,1,hbds,8,6,7,504,Win
tiny,1,hbds,9,1,1,509,Win
tiny,2,dfs,0,8,12,502,Win
tiny,2,dfs,1,15,23,495,Win
tiny,2,dfs,2,5,20,505,Win
tiny,2,dfs,3,5,26,505,Win
tiny,2,dfs,4,18,28,492,Win
tiny,2,dfs,5,5,6,505,Win
tiny,2,dfs,6,6,7,504,Win
tiny,2,dfs,7,9,14,501,Win
tiny,2,dfs,8,10,26,500,Win
