layoutSize,algorithm,t-value,p-value
tiny,dfs,3.612651662865581,0.0004782299478505373
tiny,bfs,8.324867406047415,4.809428715588841e-13
tiny,ucs,8.324867406047415,4.809428715588841e-13
tiny,astar,-9.446662723931572,1.7628724557974616e-15
tiny,hbds,-7.9662693375885825,2.83449478873143e-12
small,dfs,3.7778991752909348,0.00027017851545635716
small,bfs,9.083885389045406,1.0882642385311782e-14
small,ucs,9.083885389045406,1.0882642385311782e-14
small,astar,-11.340398899208399,1.3403364734671874e-19
small,hbds,-1.3778858062831703,0.17134513606946947
medium,dfs,5.181743961793062,1.161357470620771e-06
medium,bfs,10.561041455318573,6.5549887032310545e-18
medium,ucs,10.561041455318573,6.5549887032310545e-18
medium,astar,-12.34767090890608,9.316129395745095e-22
medium,hbds,-6.081481744202372,2.2446316398171146e-08
big,dfs,6.651624911307934,1.611124222501333e-09
big,bfs,14.028312467758179,2.8799085979906023e-25
big,ucs,14.028312467758179,2.8799085979906023e-25
big,astar,-11.164098193374858,3.222140058044088e-19
big,hbds,-4.447758467497794,2.272827761518935e-05
