layout,layoutCount,algorithm,iteration,cost,expandedNodes,score,result
tiny,0,dfs,0,44,98,496,Win
tiny,0,bfs,0,38,74,502,Win
tiny,0,ucs,0,38,74,502,Win
tiny,0,astar,0,38,51,502,Win
tiny,0,bds,0,38,51,502,Win
small,0,dfs,0,72,262,468,Win
small,0,bfs,0,52,175,488,Win
small,0,ucs,0,52,175,488,Win
small,0,astar,0,52,81,488,Win
small,0,bds,0,52,139,488,Win
medium,0,dfs,0,270,672,270,Win
medium,0,bfs,0,92,498,448,Win
medium,0,ucs,0,92,498,448,Win
medium,0,astar,0,92,213,448,Win
medium,0,bds,0,92,249,448,Win
big,0,dfs,0,457,724,83,Win
big,0,bfs,0,113,1148,427,Win
big,0,ucs,0,113,1148,427,Win
big,0,astar,0,113,292,427,Win
big,0,bds,0,113,497,427,Win
