layout,layoutCount,algorithm,iteration,foodCount,cost,expandedNodes,score,result
tiny,0,dfs,0,2,9,18,511,Win
tiny,0,dfs,0,3,19,37,511,Win
tiny,0,dfs,0,4,13,14,527,Win
tiny,0,dfs,0,5,31,78,519,Win
tiny,0,dfs,0,6,24,74,540,Win
tiny,0,dfs,0,7,36,68,534,Win
tiny,0,dfs,0,8,34,82,546,Win
tiny,0,dfs,0,9,33,127,557,Win
tiny,0,dfs,0,10,48,110,561,Win
tiny,0,dfs,0,11,30,114,580,Win
tiny,0,bfs,0,2,9,28,511,Win
tiny,0,bfs,0,3,19,42,511,Win
tiny,0,bfs,0,4,13,28,527,Win
tiny,0,bfs,0,5,23,52,527,Win
tiny,0,bfs,0,6,20,47,544,Win
tiny,0,bfs,0,7,36,81,534,Win
tiny,0,bfs,0,8,28,66,552,Win
tiny,0,bfs,0,9,29,64,561,Win
tiny,0,bfs,0,10,44,88,565,Win
tiny,0,bfs,0,11,30,61,580,Win
tiny,0,ucs,0,2,9,28,511,Win
tiny,0,ucs,0,3,19,42,511,Win
tiny,0,ucs,0,4,13,28,527,Win
tiny,0,ucs,0,5,23,52,527,Win
tiny,0,ucs,0,6,20,47,544,Win
tiny,0,ucs,0,7,36,81,534,Win
tiny,0,ucs,0,8,28,66,552,Win
tiny,0,ucs,0,9,29,64,561,Win
tiny,0,ucs,0,10,44,88,565,Win
tiny,0,ucs,0,11,30,61,580,Win
tiny,0,astar,0,2,9,12,511,Win
tiny,0,astar,0,3,19,27,511,Win
tiny,0,astar,0,4,13,15,527,Win
tiny,0,astar,0,5,23,32,527,Win
tiny,0,astar,0,6,20,25,544,Win
tiny,0,astar,0,7,36,60,534,Win
tiny,0,astar,0,8,28,41,552,Win
tiny,0,astar,0,9,29,47,561,Win
tiny,0,astar,0,10,44,64,565,Win
tiny,0,astar,0,11,30,35,580,Win
tiny,0,bds,0,2,9,24,511,Win
tiny,0,bds,0,3,19,39,511,Win
tiny,0,bds,0,4,13,28,527,Win
tiny,0,bds,0,5,23,42,527,Win
tiny,0,bds,0,6,20,34,544,Win
tiny,0,bds,0,7,36,55,534,Win
tiny,0,bds,0,8,28,54,552,Win
tiny,0,bds,0,9,29,51,561,Win
tiny,0,bds,0,10,44,67,565,Win
tiny,0,bds,0,11,30,50,580,Win
tiny,1,dfs,0,2,18,28,502,Win
tiny,1,dfs,0,3,17,49,513,Win
tiny,1,dfs,0,4,34,45,506,Win
tiny,1,dfs,0,5,32,121,518,Win
tiny,1,dfs,0,6,24,46,536,Win
tiny,1,dfs,0,7,30,89,546,Win
