layout,layoutCount,algorithm,iteration,cost,expandedNodes,score,result
tiny,0,dfs,0,8,8,502,Win
tiny,0,dfs,1,14,15,496,Win
tiny,0,dfs,2,4,29,506,Win
tiny,0,dfs,3,10,12,500,Win
tiny,0,dfs,4,3,12,507,Win
tiny,0,dfs,5,15,18,495,Win
tiny,0,dfs,6,12,15,498,Win
tiny,0,dfs,7,14,16,496,Win
tiny,0,dfs,8,8,24,502,Win
tiny,0,dfs,9,2,2,508,Win
tiny,0,bfs,0,6,20,504,Win
tiny,0,bfs,1,12,20,498,Win
tiny,0,bfs,2,4,11,506,Win
tiny,0,bfs,3,10,26,500,Win
tiny,0,bfs,4,3,9,507,Win
tiny,0,bfs,5,15,24,495,Win
tiny,0,bfs,6,12,23,498,Win
tiny,0,bfs,7,14,29,496,Win
tiny,0,bfs,8,8,15,502,Win
tiny,0,bfs,9,2,2,508,Win
tiny,0,ucs,0,6,20,504,Win
tiny,0,ucs,1,12,20,498,Win
tiny,0,ucs,2,4,11,506,Win
tiny,0,ucs,3,10,26,500,Win
tiny,0,ucs,4,3,9,507,Win
tiny,0,ucs,5,15,24,495,Win
tiny,0,ucs,6,12,23,498,Win
tiny,0,ucs,7,14,29,496,Win
tiny,0,ucs,8,8,15,502,Win
tiny,0,ucs,9,2,2,508,Win
tiny,0,astar,0,6,7,504,Win
tiny,0,astar,1,12,17,498,Win
tiny,0,astar,2,4,6,506,Win
tiny,0,astar,3,10,13,500,Win
tiny,0,astar,4,3,3,507,Win
tiny,0,astar,5,15,18,495,Win
tiny,0,astar,6,12,16,498,Win
tiny,0,astar,7,14,28,496,Win
tiny,0,astar,8,8,11,502,Win
tiny,0,astar,9,2,2,508,Win
tiny,0,bds,0,6,12,504,Win
tiny,0,bds,1,12,22,498,Win
tiny,0,bds,2,4,8,506,Win
tiny,0,bds,3,10,23,500,Win
tiny,0,bds,4,3,7,507,Win
tiny,0,bds,5,15,28,495,Win
tiny,0,bds,6,12,28,498,Win
tiny,0,bds,7,14,28,496,Win
tiny,0,bds,8,8,16,502,Win
tiny,0,bds,9,2,2,508,Win
tiny,1,dfs,0,5,10,505,Win
tiny,1,dfs,1,6,11,504,Win
tiny,1,dfs,2,2,13,508,Win
tiny,1,dfs,3,11,13,499,Win
tiny,1,dfs,4,1,1,509,Win
tiny,1,dfs,5,7,19,503,Win
tiny,1,dfs,6,11,24,499,Win
tiny,1,dfs,7,4,5,506,Win
tiny,1,dfs,8,4,4,506,Win
tiny,1,dfs,9,8,18,502,Win
tiny,1,bfs,0,3,6,507,Win
tiny,1,bfs,1,6,10,504,Win
tiny,1,bfs,2,2,5,508,Win
tiny,1,bfs,3,7,15,503,Win
tiny,1,bfs,4,1,1,509,Win
tiny,1,bfs,5,5,11,505,Win
tiny,1,bfs,6,9,27,501,Win
tiny,1,bfs,7,4,6,506,Win
tiny,1,bfs,8,4,14,506,Win
tiny,1,bfs,9,8,16,502,Win
tiny,1,ucs,0,3,6,507,Win
tiny,1,ucs,1,6,10,504,Win
